Coach,Win Percent,Season,Record,Team,Sport
Danny Miller,.000,2015-16,0-0,Averett,Womens Volleyball
Chris Green,.667,2011-12,18-9,Alas. Anchorage,Womens Volleyball
Jim McLaughlin,.467,1995-96,14-16,Southern California,Mens Volleyball
TJ Kostecky,.361,2011-12,5-10-3,LIU Brooklyn,Mens Soccer
Jennifer Mills,.594,2011-12,19-13,Clarion,Womens Volleyball
Aaron McGuiness,.417,2013-14,7-10-1,Thiel,Womens Soccer
Aaron McGuiness,.324,2012-13,5-11-1,Thiel,Womens Soccer
Peter Albright,.000,2015-16,0-0,Richmond,Womens Soccer
Peter Albright,.500,2014-15,9-9-2,Richmond,Womens Soccer
Amy Reifert,.667,2012-13,12-6,Chicago,Womens Soccer
Amy Reifert,.588,2011-12,9-6-2,Chicago,Womens Soccer
Aaron McGuiness,.000,2015-16,0-0,Thiel,Womens Soccer
Aaron McGuiness,.300,2014-15,6-14,Thiel,Womens Soccer
Amy Reifert,.738,2014-15,15-5-1,Chicago,Womens Soccer
Amy Reifert,.658,2013-14,11-5-3,Chicago,Womens Soccer
Lindsay Jackson,.000,2015-16,0-0,Holy Cross,Field Hockey
Lindsay Jackson,.850,2014-15,17-3,Limestone,Field Hockey
Paul Haynes,.182,2014-15,2-9,Kent St.,Football
Paul Haynes,.333,2013-14,4-8,Kent St.,Football
Robert Cummings,.618,1977-78,10-6-1,Chris. Newport,Mens Soccer
Paul Haynes,.000,2015-16,0-0,Kent St.,Football
Robert Cummings,.267,1979-80,2-9-4,Chris. Newport,Mens Soccer
Robert Cummings,.441,1978-79,7-9-1,Chris. Newport,Mens Soccer
Robert Cummings,.441,2011-12,7-9-1,Cal St. Monterey Bay,Mens Soccer
Robert Cummings,.100,1980-81,1-13-1,Chris. Newport,Mens Soccer
Bobby Wilder,.000,2015-16,0-0,Old Dominion,Football
Phil Fluhr,.368,2006-07,6-11-2,Dominican (NY),Womens Soccer
Phil Fluhr,.368,2005-06,6-11-2,Dominican (NY),Womens Soccer
Chris Brown,.864,2014-15,18-2-2,Kenyon,Mens Soccer
Chris Brown,.000,2015-16,0-0,Kenyon,Mens Soccer
Ted Zingman,.694,2012-13,12-5-1,Hamline,Womens Soccer
Ted Zingman,.639,2011-12,10-5-3,Hamline,Womens Soccer
Phil Fluhr,.000,2015-16,0-0,Bloomfield,Womens Soccer
Phil Fluhr,.474,2007-08,8-9-2,Dominican (NY),Womens Soccer
Paul Payne,.472,2013-14,8-9-1,Bloomsburg,Mens Soccer
Paul Payne,.667,2014-15,13-6-2,Bloomsburg,Mens Soccer
Paul Payne,.444,2011-12,7-9-2,Bloomsburg,Mens Soccer
Paul Payne,.528,2012-13,9-8-1,Bloomsburg,Mens Soccer
Chris Brown,.583,2012-13,9-6-3,Kenyon,Mens Soccer
Chris Brown,.729,2013-14,16-5-3,Kenyon,Mens Soccer
Paul Payne,.000,2015-16,0-0,Bloomsburg,Mens Soccer
Chris Brown,.471,2011-12,7-8-2,Kenyon,Mens Soccer
Adel Heder,.000,2015-16,0-0,Indiana (PA),Womens Soccer
Neil Roberts,.500,2011-12,9-9,Boston U.,Mens Soccer
Neil Roberts,.444,2012-13,6-8-4,Boston U.,Mens Soccer
Jeff Monken,.333,2014-15,4-8,Army West Point,Football
Jeff Monken,.000,2015-16,0-0,Army West Point,Football
Ashley Mazzoli,.000,2015-16,0-0,American Intl,Field Hockey
Jeff Monken,.636,2013-14,7-4,Ga. Southern,Football
Robyn Felder,.000,2015-16,0-0,Dixie St.,Womens Volleyball
Ashley Mazzoli,.600,2014-15,12-8,American Intl,Field Hockey
Robyn Felder,.630,2013-14,17-10,Dixie St.,Womens Volleyball
Robyn Felder,.710,2014-15,22-9,Dixie St.,Womens Volleyball
Ron Rainey,.643,2012-13,12-6-3,Iowa,Womens Soccer
Mike Keller,.389,2014-15,7-11,Academy of Art,Mens Soccer
Patrick Ferguson,.583,2013-14,8-5-5,Wright St.,Womens Soccer
Patrick Ferguson,.600,2012-13,9-5-6,Wright St.,Womens Soccer
Patrick Ferguson,.548,2011-12,10-8-3,Wright St.,Womens Soccer
Mark Robichaud,.000,2015-16,0-0,UMass Dartmouth,Football
Mark Robichaud,.400,2014-15,4-6,UMass Dartmouth,Football
Mark Robichaud,.333,2013-14,3-6,UMass Dartmouth,Football
Mark Robichaud,.100,2012-13,1-9,UMass Dartmouth,Football
Mark Robichaud,.500,2011-12,5-5,UMass Dartmouth,Football
Bob Crank,.000,2015-16,0-0,Quincy,Womens Volleyball
Bob Crank,.379,2014-15,11-18,Quincy,Womens Volleyball
Iain Byers,.000,2015-16,0-0,Longwood,Field Hockey
Sally Polhamus,.000,2015-16,0-0,Georgia St.,Womens Volleyball
Mike Keller,.000,2015-16,0-0,Academy of Art,Mens Soccer
Andrew Burr,.783,2013-14,17-4-2,Furman,Womens Soccer
Andrew Burr,.737,2014-15,13-4-2,Furman,Womens Soccer
Keith Cammidge,.306,2014-15,4-11-3,Mercyhurst,Womens Soccer
Keith Cammidge,.500,2013-14,9-9-1,Mercyhurst,Womens Soccer
Keith Cammidge,.425,2007-08,7-10-3,Mercyhurst,Mens Soccer
Keith Cammidge,.810,2006-07,17-4,Mercyhurst,Mens Soccer
Keith Cammidge,.500,2005-06,8-8-4,Mercyhurst,Mens Soccer
Theresa Garlacy,.000,2015-16,0-0,Bryant,Womens Volleyball
Keith Cammidge,.417,2012-13,7-10-1,Mercyhurst,Womens Soccer
Keith Cammidge,.417,2011-12,7-10-1,Mercyhurst,Womens Soccer
Keith Cammidge,.690,2009-10,14-6-1,Mercyhurst,Mens Soccer
Keith Cammidge,.588,2008-09,9-6-2,Mercyhurst,Mens Soccer
Chris Hatcher,.455,2012-13,5-6,Murray St.,Football
Chris Hatcher,.636,2011-12,7-4,Murray St.,Football
Chris Hatcher,.250,2014-15,3-9,Murray St.,Football
Chris Hatcher,.500,2013-14,6-6,Murray St.,Football
John Troxell,.300,2011-12,3-7,Frank. & Marsh.,Football
Chris Hatcher,.000,2015-16,0-0,Samford,Football
John Troxell,.636,2013-14,7-4,Frank. & Marsh.,Football
John Troxell,.636,2012-13,7-4,Frank. & Marsh.,Football
John Troxell,.000,2015-16,0-0,Frank. & Marsh.,Football
John Troxell,.500,2014-15,5-5,Frank. & Marsh.,Football
Danny Rocco,.643,2014-15,9-5,Richmond,Football
Whitney Harness (Nash),.000,2015-16,0-0,Seton Hill,Field Hockey
Whitney Harness (Nash),.000,2014-15,0-16,Seton Hill,Field Hockey
Jerry Kill,.462,2012-13,6-7,Minnesota,Football
Jerry Kill,.250,2011-12,3-9,Minnesota,Football
Jerry Kill,.615,2014-15,8-5,Minnesota,Football
Jerry Kill,.615,2013-14,8-5,Minnesota,Football
Whitney Harness (Nash),.176,2011-12,3-14,Seton Hill,Field Hockey
Jerry Kill,.000,2015-16,0-0,Minnesota,Football
Whitney Harness (Nash),.294,2013-14,5-12,Seton Hill,Field Hockey
Whitney Harness (Nash),.389,2012-13,7-11,Seton Hill,Field Hockey
Jay Thomas,.333,2008-09,3-6,Nicholls St.,Football
Sean Esterhuizen,.000,2015-16,0-0,Clarion,Womens Soccer
Jay Thomas,.500,2013-14,6-6,Northwestern St.,Football
Jay Thomas,.273,2009-10,3-8,Nicholls St.,Football
Jay Thomas,.000,2015-16,0-0,Northwestern St.,Football
Jay Thomas,.500,2014-15,6-6,Northwestern St.,Football
Matt Garrett,.667,2012-13,12-6,Gettysburg,Womens Soccer
Matt Garrett,.632,2011-12,12-7,Gettysburg,Womens Soccer
Danny Rocco,.500,2013-14,6-6,Richmond,Football
Matt Garrett,.778,2013-14,12-2-4,Gettysburg,Womens Soccer
Kevin Fickes,.000,2015-16,0-0,Colorado Mines,Womens Soccer
Kevin Fickes,.792,2014-15,16-2-6,Colorado Mines,Womens Soccer
Hylton Dayes,.667,1990-91,11-5-2,Wright St.,Womens Soccer
Hylton Dayes,.529,1989-90,9-8,Wright St.,Womens Soccer
Hylton Dayes,.417,1992-93,7-10-1,Wright St.,Womens Soccer
Hylton Dayes,.639,1991-92,11-6-1,Wright St.,Womens Soccer
Kevin Fickes,.826,2011-12,17-2-4,Colorado Mines,Womens Soccer
Hylton Dayes,.395,1993-94,7-11-1,Wright St.,Womens Soccer
Kevin Fickes,.929,2013-14,19-1-1,Colorado Mines,Womens Soccer
Kevin Fickes,.792,2012-13,18-4-2,Colorado Mines,Womens Soccer
Girish Thakar,.222,2011-12,4-14,Westminster (PA),Mens Soccer
Bill Cubit,.000,2015-16,0-0,Illinois,Football
Ryan Lakin,.675,2014-15,12-5-3,Aurora,Mens Soccer
Craig Roberts,.500,2011-12,9-9-3,Ball St.,Womens Soccer
Pam Stuper,.353,2012-13,6-11,Yale,Field Hockey
Pam Stuper,.647,2011-12,11-6,Yale,Field Hockey
Pam Stuper,.176,2014-15,3-14,Yale,Field Hockey
Pam Stuper,.471,2013-14,8-9,Yale,Field Hockey
Bill Cubit,.417,2009-10,5-7,Western Mich.,Football
Pam Stuper,.000,2015-16,0-0,Yale,Field Hockey
Bill Cubit,.333,2012-13,4-8,Western Mich.,Football
Bill Cubit,.500,2010-11,6-6,Western Mich.,Football
Greg Pscodna,.000,2015-16,0-0,Alma,Football
Rick Isaacson,.447,2011-12,8-10-1,Simpson,Mens Soccer
Scott McKenzie,.417,2014-15,6-9-3,Juniata,Womens Soccer
Brian Goodale,.667,2011-12,18-9,Saint Rose,Womens Volleyball
Brian Goodale,.630,2012-13,17-10,Saint Rose,Womens Volleyball
Amanda Malkiewicz,.412,2014-15,5-8-4,Concord,Womens Soccer
Amanda Malkiewicz,.000,2015-16,0-0,Concord,Womens Soccer
Kathy Roulhac,.323,2014-15,10-21,Tennessee St.,Womens Volleyball
Kathy Roulhac,.000,2015-16,0-0,Tennessee St.,Womens Volleyball
Kathy Roulhac,.562,2012-13,18-14,Tennessee St.,Womens Volleyball
Kathy Roulhac,.357,2013-14,10-18,Tennessee St.,Womens Volleyball
Brian Goodale,.792,2013-14,19-5,Saint Rose,Womens Volleyball
Brian Goodale,.667,2014-15,18-9,Saint Rose,Womens Volleyball
Eric Johnson,.643,2011-12,13-7-1,Western Ill.,Mens Soccer
Eric Johnson,.452,2012-13,7-9-5,Western Ill.,Mens Soccer
Eric Johnson,.316,2013-14,6-13,Western Ill.,Mens Soccer
Eric Johnson,.553,2014-15,9-7-3,Western Ill.,Mens Soccer
Dennis Franchione,.500,2011-12,6-6,Texas St.,Football
Dennis Franchione,.333,2012-13,4-8,Texas St.,Football
Dennis Franchione,.583,2014-15,7-5,Texas St.,Football
Dennis Franchione,.000,2015-16,0-0,Texas St.,Football
Eric Johnson,.000,2015-16,0-0,Western Ill.,Mens Soccer
Michael Seemann,.581,2011-12,18-13,Portland St.,Womens Volleyball
Ryan Lakin,.647,2012-13,11-6,Ill. Wesleyan,Mens Soccer
Heather Mazeitis,.438,2011-12,14-18,La.-Lafayette,Womens Volleyball
Raymond Monica,.636,2012-13,7-4,Kutztown,Football
Ryan Lakin,.500,2011-12,8-8-1,Ill. Wesleyan,Mens Soccer
Lee Williams,.458,1960-61,11-13,Colby,Mens Basketball
Kat Conner,.600,2014-15,11-7-2,Texas St.,Womens Soccer
Alan Logan,.300,2014-15,3-7,Muskingum,Football
Scott Baker,.316,2013-14,12-26,Sewanee,Baseball
Alan Logan,.000,2015-16,0-0,Muskingum,Football
Steve Axtell,.528,2012-13,9-8-1,SUNY Cortland,Mens Soccer
Alan Logan,.300,2012-13,3-7,Muskingum,Football
Mick Haley,.000,2015-16,0-0,Southern California,Womens Volleyball
Amber Corcoran,.000,2015-16,0-0,Stevens,Field Hockey
Demian Brown,.000,2015-16,0-0,Cal St. Fullerton,Womens Soccer
Mick Haley,.500,2014-15,16-16,Southern California,Womens Volleyball
Lee Williams,.538,1961-62,14-12,Colby,Mens Basketball
Fran Grembowicz,.522,1994-95,12-11,St. Lawrence,Womens Basketball
Fran Grembowicz,.458,1995-96,11-13,St. Lawrence,Womens Basketball
Fran Grembowicz,.000,2015-16,0-0,St. Lawrence,Field Hockey
Mick Haley,.829,2013-14,29-6,Southern California,Womens Volleyball
Rob Nydick,.368,2013-14,6-11-2,Arcadia,Mens Soccer
Rob Nydick,.556,2014-15,9-7-2,Arcadia,Mens Soccer
Fran Grembowicz,.458,1996-97,11-13,St. Lawrence,Womens Basketball
Fran Grembowicz,.630,1997-98,17-10,St. Lawrence,Womens Basketball
Mandy Green,.526,2014-15,9-8-2,South Dakota,Womens Soccer
Scott Baker,.351,2012-13,13-24,Sewanee,Baseball
Rob Nydick,.528,2011-12,9-8-1,Arcadia,Mens Soccer
Rob Nydick,.529,2012-13,8-7-2,Arcadia,Mens Soccer
Colleen Westfall,.000,2015-16,0-0,Howard Payne,Womens Volleyball
Mandy Green,.132,2011-12,1-15-3,South Dakota,Womens Soccer
Mandy Green,.194,2012-13,2-13-3,South Dakota,Womens Soccer
Steve Axtell,.000,2015-16,0-0,SUNY Cortland,Mens Soccer
Steve Axtell,.750,2014-15,16-5-1,SUNY Cortland,Mens Soccer
Scott Miller,.125,2014-15,2-14,Sarah Lawrence,Mens Soccer
Amber Corcoran,.350,2014-15,7-13,Immaculata,Field Hockey
Steve Axtell,.605,2013-14,11-7-1,SUNY Cortland,Mens Soccer
Jason Kepner,.714,2011-12,25-10,Col. of Charleston,Womens Volleyball
Sinisa Momic,.156,2014-15,5-27,Tulane,Womens Volleyball
Sinisa Momic,.875,2013-14,28-4,Tulane,Womens Volleyball
Heather Mazeitis,.576,2013-14,19-14,La.-Lafayette,Womens Volleyball
Kristin St. Clair,.540,2014-15,12-10-,Connecticut Col.,Womens Ice Hockey
Jeff Cummings,.864,2014-15,18-2-2,Thomas More,Mens Soccer
Kristin St. Clair,.558,2012-13,14-11-,Connecticut Col.,Womens Ice Hockey
Heather Mazeitis,.606,2014-15,20-13,La.-Lafayette,Womens Volleyball
Sinisa Momic,.222,2012-13,6-21,Tulane,Womens Volleyball
Randy Hanson,.818,2013-14,17-3-2,Puget Sound,Womens Soccer
Scott Benzel,.000,2015-16,0-0,Westminster (PA),Football
Florin Marton,.472,2014-15,8-9-1,Salem Intl,Mens Soccer
Randy Hanson,.725,2012-13,14-5-1,Puget Sound,Womens Soccer
Scott Miller,.294,2013-14,5-12,Alfred,Mens Soccer
Amber Corcoran,.316,2013-14,6-13,Immaculata,Field Hockey
Tiffany Davis,.586,2013-14,17-12,Texas Lutheran,Womens Volleyball
Jim Thomas,.630,2013-14,13-7-3,Boise St.,Womens Soccer
Cliff Brown,.000,2015-16,0-0,Newman,Mens Soccer
Tanya Allen,.548,2012-13,17-14,Tex. A&M-Kingsville,Womens Volleyball
Tanya Allen,.500,2011-12,15-15,Tex. A&M-Kingsville,Womens Volleyball
Chris Jones,.458,1997-98,22-26,Gannon,Baseball
Chris Jones,.191,1996-97,9-38,Gannon,Baseball
Amber Corcoran,.059,2012-13,1-16,Immaculata,Field Hockey
Chris Jones,.500,1986-87,8-8-2,Villanova,Mens Soccer
Erin Fitzgerald,.071,2014-15,1-13,St. Elizabeth,Womens Lacrosse
Erin Fitzgerald,.000,2015-16,0-0,St. Elizabeth,Womens Soccer
Erin Fitzgerald,.000,2014-15,0-17,St. Elizabeth,Womens Soccer
Chris Jones,.444,1990-91,8-10,Villanova,Mens Soccer
Chris Jones,.368,1989-90,7-12,Villanova,Mens Soccer
Chris Jones,.412,1988-89,6-9-2,Villanova,Mens Soccer
Chris Jones,.528,1987-88,9-8-1,Villanova,Mens Soccer
Jose Cedeno,.571,2008-09,11-8-2,Hunter,Mens Soccer
Jose Cedeno,.425,2009-10,8-11-1,Hunter,Mens Soccer
Jose Cedeno,.548,2010-11,10-8-3,Hunter,Mens Soccer
Andrew Smith,.000,2015-16,0-0,Marywood,Womens Soccer
Jose Cedeno,.389,2011-12,5-9-4,Hunter,Mens Soccer
Jose Cedeno,.000,2015-16,0-0,Whitman,Mens Soccer
Jim Barlow,.353,2011-12,5-10-2,Princeton,Mens Soccer
Tony Pierce,.000,2000-01,0-0,Concordia Chicago,Mens Soccer
Tony Pierce,.079,2001-02,1-17-1,Concordia Chicago,Mens Soccer
Laura Heethius,.000,2015-16,0-0,Waynesburg,Womens Soccer
Tony Pierce,.000,1998-99,0-0,Wis. Lutheran,Mens Soccer
Tony Pierce,.263,2011-12,5-14,Lakeland,Womens Soccer
Tony Pierce,.500,2012-13,8-8-3,Wis. Lutheran,Womens Soccer
Chris Ayer,.722,2013-14,13-5,Lander,Womens Soccer
Chris Ayer,.600,2014-15,7-4-4,Lander,Womens Soccer
Chris Ayer,.711,2011-12,13-5-1,Lander,Womens Soccer
Chris Ayer,.676,2012-13,10-4-3,Lander,Womens Soccer
Chris Ayer,.167,2004-05,2-12-1,Coker,Mens Soccer
Chris Ayer,.200,2005-06,3-12,Coker,Mens Soccer
Todd Ditmar,.000,2015-16,0-0,Westfield St.,Womens Soccer
Chris Ayer,.167,2003-04,2-12-1,Coker,Mens Soccer
Todd Ditmar,.556,2013-14,10-8,Westfield St.,Womens Soccer
Todd Ditmar,.667,2014-15,13-6-2,Westfield St.,Womens Soccer
Kari Shimmin,.357,2013-14,10-18,Monmouth (IL),Womens Volleyball
Kari Shimmin,.276,2014-15,8-21,Monmouth (IL),Womens Volleyball
Kari Shimmin,.000,2015-16,0-0,Monmouth (IL),Womens Volleyball
Kari Shimmin,.226,2004-05,7-24,Monmouth (IL),Softball
Kurt Kohler,.419,2014-15,13-18,Fort Hays St.,Womens Volleyball
Kurt Kohler,.000,2015-16,0-0,Fort Hays St.,Womens Volleyball
Kari Shimmin,.345,2011-12,10-19,Monmouth (IL),Womens Volleyball
Kari Shimmin,.633,2012-13,19-11,Monmouth (IL),Womens Volleyball
Jaime Fisher,.000,2015-16,0-0,Millsaps,Womens Volleyball
Kari Shimmin,.394,2005-06,13-20,Monmouth (IL),Softball
Kari Shimmin,.345,2006-07,10-19,Monmouth (IL),Softball
Jaime Fisher,.778,2014-15,21-6,Millsaps,Womens Volleyball
Chris Pfau,.000,2015-16,0-0,Houston,Womens Soccer
Chris Pfau,.206,2014-15,1-11-5,Houston,Womens Soccer
Chris Pfau,.156,2013-14,1-12-3,Houston,Womens Soccer
Chris Pfau,.444,2011-12,7-9-2,Akron,Womens Soccer
Kristin Cannon,.472,2014-15,8-9-1,Johnson St.,Womens Soccer
Kristin Cannon,.412,2013-14,7-10,Johnson St.,Womens Soccer
John Grass,.000,2015-16,0-0,Jacksonville St.,Football
John Grass,.833,2014-15,10-2,Jacksonville St.,Football
Emedin Sabic,.417,2013-14,7-10-1,California (PA),Mens Soccer
Kristin Cannon,.000,2015-16,0-0,Johnson St.,Womens Soccer
Lauren Steinbrecher,.448,2012-13,13-16,James Madison,Womens Volleyball
Lauren Steinbrecher,.645,2011-12,20-11,James Madison,Womens Volleyball
Lauren Steinbrecher,.548,2014-15,17-14,James Madison,Womens Volleyball
Lauren Steinbrecher,.464,2013-14,13-15,James Madison,Womens Volleyball
Colleen Bruley,.278,2013-14,3-11-4,SUNY New Paltz,Womens Soccer
Colleen Bruley,.684,2012-13,12-5-2,SUNY New Paltz,Womens Soccer
Colleen Bruley,.000,2015-16,0-0,SUNY New Paltz,Womens Soccer
Colleen Bruley,.500,2014-15,8-8-2,SUNY New Paltz,Womens Soccer
Eddie Matthews,.483,1976-77,14-15,Drury,Mens Basketball
Jeff Alder,.625,2011-12,11-6-3,Liberty,Mens Soccer
Lauren Steinbrecher,.000,2015-16,0-0,James Madison,Womens Volleyball
Danny Longo,.500,2011-12,9-9-1,Molloy,Womens Soccer
Jason Woodman,.300,2013-14,3-7,Fairmont St.,Football
Monte Coleman,.000,2015-16,0-0,Ark.-Pine Bluff,Football
Jared Sheikh,.000,2015-16,0-0,Elms,Mens Soccer
Danny Longo,.000,2015-16,0-0,Molloy,Mens Soccer
Craig Stewart,.312,2012-13,4-10-2,Providence,Mens Soccer
Chris Bergmann,.775,2012-13,15-4-1,Lake Forest,Mens Soccer
Chris Bergmann,.763,2011-12,13-3-3,Lake Forest,Mens Soccer
Chris Bergmann,.421,2014-15,7-10-2,Lake Forest,Mens Soccer
Chris Bergmann,.667,2013-14,14-7,Lake Forest,Mens Soccer
Monte Coleman,.833,2012-13,10-2,Ark.-Pine Bluff,Football
Monte Coleman,.000,2011-12,0-5,Ark.-Pine Bluff,Football
Monte Coleman,.364,2014-15,4-7,Ark.-Pine Bluff,Football
Monte Coleman,.182,2013-14,2-9,Ark.-Pine Bluff,Football
Dan Zemanski,.500,2014-15,8-8-2,Hiram,Mens Soccer
Rudy Argueta,.237,2014-15,4-14-1,Mt. St. Joseph,Mens Soccer
Chris LeFevre,.000,2015-16,0-0,McMurry,Mens Soccer
John Ross,.474,2012-13,8-9-2,Northern Ill.,Womens Soccer
Al Campora,.486,2014-15,17-18,FDU-Florham,Womens Volleyball
Al Campora,.000,2015-16,0-0,FDU-Florham,Womens Volleyball
Al Campora,.160,2012-13,4-21,FDU-Florham,Womens Volleyball
Al Campora,.444,2013-14,16-20,FDU-Florham,Womens Volleyball
Chris LeFevre,.325,2012-13,6-13-1,Adrian,Mens Soccer
Chris LeFevre,.395,2013-14,5-9-5,Adrian,Mens Soccer
Chris LeFevre,.500,2010-11,9-9-2,Adrian,Mens Soccer
Chris LeFevre,.278,2011-12,4-12-2,Adrian,Mens Soccer
Ken Nuber,.719,2000-01,23-9,St. Francis (IN),Softball
Kellee Roesel,.853,2012-13,29-5,Cal Lutheran,Womens Volleyball
Paul Chryst,.500,2014-15,6-6,Pittsburgh,Football
Danny Longo,.206,2013-14,3-13-1,Molloy,Womens Soccer
Ken Nuber,.000,2015-16,0-0,St. Marys (IN),Womens Soccer
Danny Longo,.300,2012-13,4-10-1,Molloy,Womens Soccer
Jozsef Forman,.606,2009-10,20-13,New Orleans,Womens Volleyball
Ken Nuber,.525,2006-07,10-9-1,St. Francis (IN),Womens Soccer
Ken Nuber,.568,2007-08,12-9-1,St. Francis (IN),Womens Soccer
Ken Nuber,.595,2004-05,10-6-5,St. Francis (IN),Womens Soccer
Thomas Kelley,.667,1920-21,4-2,Idaho,Football
Jozsef Forman,.000,2015-16,0-0,Coastal Caro.,Womens Volleyball
Ainslee Lamb,.526,2012-13,10-9,Boston College,Field Hockey
Ainslee Lamb,.526,2011-12,10-9,Boston College,Field Hockey
Jodie Fairbank,.000,2015-16,0-0,Husson,Womens Volleyball
Jodie Fairbank,.290,2014-15,9-22,Husson,Womens Volleyball
Jodie Fairbank,.379,2013-14,11-18,Husson,Womens Volleyball
Andy Biggs,.556,2009-10,10-8,U New England,Mens Soccer
Andy Biggs,.375,2008-09,4-8-4,U New England,Mens Soccer
Andy Biggs,.382,2007-08,6-10-1,U New England,Mens Soccer
Shelton Collier,.914,2012-13,32-3,Wingate,Womens Volleyball
Ainslee Lamb,.650,2014-15,13-7,Boston College,Field Hockey
Shelton Collier,.914,2013-14,32-3,Wingate,Womens Volleyball
Heather Henson,.500,2011-12,8-8-1,Belmont,Womens Soccer
Amanda Maxwell,.447,2014-15,7-9-3,Bethel (MN),Womens Soccer
Amanda Maxwell,.417,2013-14,7-10-1,Bethel (MN),Womens Soccer
Greg Maas,.000,2015-16,0-0,Utah Valley,Mens Soccer
Brittany Cherwinka,.357,2014-15,10-18,St. Josephs (IN),Womens Volleyball
Rayna Cain,.000,2015-16,0-0,Neb. Wesleyan,Womens Volleyball
Amanda Maxwell,.528,2012-13,8-7-3,Bethel (MN),Womens Soccer
Brittany Cherwinka,.000,2015-16,0-0,St. Josephs (IN),Womens Volleyball
Rayna Cain,.500,2012-13,6-6,Neb. Wesleyan,Womens Volleyball
Brad Hauter,.864,2007-08,19-3,Rose-Hulman,Womens Soccer
Rayna Cain,.923,2014-15,12-1,Neb. Wesleyan,Womens Volleyball
Rayna Cain,.833,2013-14,10-2,Neb. Wesleyan,Womens Volleyball
Chris Wells,.740,1993-94,37-13,Willamette,Womens Volleyball
Chris Wells,.111,2014-15,3-24,Chadron St.,Womens Volleyball
Chris Wells,.000,2015-16,0-0,Chadron St.,Womens Volleyball
Chris Wells,.472,2010-11,16-18-,St. Lawrence,Womens Ice Hockey
Steve Florio,.394,2014-15,13-20,IPFW,Womens Volleyball
Steve Florio,.000,2015-16,0-0,IPFW,Womens Volleyball
Chris Wells,.538,1991-92,21-18,Willamette,Womens Volleyball
Chris Wells,.727,1992-93,40-15,Willamette,Womens Volleyball
Roberto Rivas,.188,2014-15,3-13,York (NY),Womens Soccer
Chris Wells,.684,2011-12,24-10-,St. Lawrence,Womens Ice Hockey
Chris Wells,.566,2012-13,19-14-,St. Lawrence,Womens Ice Hockey
Bryan Laut,.000,2015-16,0-0,Goucher,Mens Soccer
Bryan Laut,.559,2014-15,8-6-3,Goucher,Mens Soccer
Lenny Armuth,.632,2012-13,11-6-2,Drew,Mens Soccer
Lenny Armuth,.675,2013-14,11-4-5,Drew,Mens Soccer
Tony Fontanelle,.000,2015-16,0-0,Mars Hill,Womens Volleyball
Lenny Armuth,.775,2011-12,15-4-1,Drew,Mens Soccer
Tony Fontanelle,.571,2013-14,16-12,Mars Hill,Womens Volleyball
Tony Fontanelle,.333,2014-15,10-20,Mars Hill,Womens Volleyball
Tony Fontanelle,.556,2011-12,15-12,Mars Hill,Womens Volleyball
Tony Fontanelle,.483,2012-13,14-15,Mars Hill,Womens Volleyball
Mark McNellie,.364,2014-15,4-7,Lake Erie,Football
Mark McNellie,.000,2015-16,0-0,Lake Erie,Football
Colin Goin,.429,2013-14,9-12,Emmanuel (MA),Mens Soccer
Colin Goin,.333,2014-15,5-11-2,Emmanuel (MA),Mens Soccer
Colin Goin,.000,2015-16,0-0,Emmanuel (MA),Mens Soccer
Corey Miller,to,2013-14,change,Concordia (TX) 2-10-2 .214  Does not reflect 9/16 game later,Mens Soccer
Chris Koenig,.444,2014-15,5-7-6,Lewis,Womens Soccer
Chris Koenig,.000,2015-16,0-0,Lewis,Womens Soccer
Colin Goin,.619,2011-12,11-6-4,Emmanuel (MA),Mens Soccer
Colin Goin,.278,2012-13,4-12-2,Emmanuel (MA),Mens Soccer
Jessica Lane,.619,2014-15,13-8,Johnson & Wales (RI),Field Hockey
Jessica Lane,.278,2013-14,5-13,Johnson & Wales (RI),Field Hockey
Corey Miller,.382,2014-15,5-9-3,Concordia (TX),Mens Soccer
Corey Miller,.000,2015-16,0-0,Concordia (TX),Mens Soccer
Justin Maullin,.350,2014-15,6-12-2,UNCG,Mens Soccer
Bill Swartz,.526,2011-12,10-9,Pomona-Pitzer,Mens Soccer
Bill Swartz,.400,2010-11,6-9,Pomona-Pitzer,Mens Soccer
Dennis Hohenshelt,.548,2014-15,17-14,Virginia,Womens Volleyball
Dennis Hohenshelt,.562,2013-14,18-14,Virginia,Womens Volleyball
Dennis Hohenshelt,.720,1995-96,18-7,Juniata,Mens Volleyball
Dennis Hohenshelt,.000,2015-16,0-0,Virginia,Womens Volleyball
Richard Gary,.593,2013-14,16-11,Wells,Mens Volleyball
Richard Gary,.269,2012-13,7-19,Wells,Mens Volleyball
Dennis Hohenshelt,.290,2012-13,9-22,Virginia,Womens Volleyball
Richard Gary,.387,2014-15,12-19,Wells,Mens Volleyball
Scott Miller,.333,2012-13,6-12,Alfred,Mens Soccer
Justin Buchanan,.300,2013-14,3-7,Hendrix,Football
Rob Fulton,.235,1994-95,8-26,Guilford,Baseball
Rob Fulton,.221,1995-96,7-26-1,Guilford,Baseball
Rob Fulton,.714,1992-93,30-12,Guilford,Baseball
Rob Fulton,.459,1993-94,17-20,Guilford,Baseball
Rob Fulton,.500,2014-15,7-7-3,Shippensburg,Womens Soccer
Rob Fulton,.000,2015-16,0-0,Shippensburg,Womens Soccer
Rob Fulton,.417,2012-13,6-9-3,Shippensburg,Womens Soccer
